date,condition,temperature,humidity
2024-12-25,sunny,15,40
2024-12-26,rainy,10,80
2024-12-27,cloudy,12,60
2024-12-28,sunny,18,35
2024-12-29,snow,0,90
2024-08-01,rainy,34,60
2024-08-02,rainy,29,56
2024-08-03,rainy,32,56
2024-08-04,sunny,33,56
2024-08-05,rainy,32,54
2024-08-06,sunny,30,56
2024-08-07,rainy,30,41
2024-08-08,cloudy,28,46
2024-08-09,sunny,32,56
2024-08-10,sunny,32,43
2024-08-11,sunny,29,59
2024-08-12,sunny,29,56
2024-08-13,rainy,29,54
2024-08-14,cloudy,33,58
2024-08-15,rainy,28,58
2024-08-16,rainy,35,60
2024-08-17,sunny,30,48
2024-08-18,cloudy,29,57
2024-08-19,cloudy,34,49
2024-08-20,rainy,32,51
2024-08-21,sunny,31,49
2024-08-22,sunny,30,52
2024-08-23,rainy,29,42
2024-08-24,cloudy,28,45
2024-08-25,cloudy,35,60
2024-08-26,rainy,30,49
2024-08-27,rainy,29,53
2024-08-28,rainy,35,52
2024-08-29,cloudy,30,50
2024-08-30,rainy,34,52
2024-08-31,sunny,33,43
2024-09-01,sunny,28,61
2024-09-02,rainy,30,52
2024-09-03,cloudy,25,55
2024-09-04,sunny,24,63
2024-09-05,rainy,28,50
2024-09-06,cloudy,25,59
2024-09-07,cloudy,26,62
2024-09-08,sunny,29,62
2024-09-09,rainy,27,62
2024-09-10,cloudy,28,70
2024-09-11,cloudy,25,50
2024-09-12,rainy,30,55
2024-09-13,rainy,23,66
2024-09-14,cloudy,29,70
2024-09-15,cloudy,28,67
2024-09-16,cloudy,26,51
2024-09-17,cloudy,30,69
2024-09-18,sunny,26,50
2024-09-19,cloudy,29,57
2024-09-20,cloudy,23,55
2024-09-21,sunny,24,65
2024-09-22,sunny,28,69
2024-09-23,rainy,23,61
2024-09-24,rainy,28,61
2024-09-25,rainy,22,53
2024-09-26,cloudy,25,50
2024-09-27,cloudy,23,67
2024-09-28,cloudy,28,61
2024-09-29,rainy,22,70
2024-09-30,rainy,30,61
2024-10-01,sunny,16,70
2024-10-02,rainy,17,62
2024-10-03,rainy,16,65
2024-10-04,rainy,21,69
2024-10-05,sunny,16,73
2024-10-06,sunny,17,68
2024-10-07,sunny,23,70
2024-10-08,rainy,20,78
2024-10-09,sunny,24,67
2024-10-10,rainy,16,72
2024-10-11,cloudy,19,68
2024-10-12,sunny,19,61
2024-10-13,sunny,24,78
2024-10-14,rainy,22,69
2024-10-15,rainy,20,77
2024-10-16,cloudy,23,60
2024-10-17,sunny,17,72
2024-10-18,rainy,24,63
2024-10-19,cloudy,24,61
2024-10-20,sunny,17,74
2024-10-21,sunny,21,70
2024-10-22,rainy,24,62
2024-10-23,cloudy,15,73
2024-10-24,rainy,20,69
2024-10-25,rainy,21,68
2024-10-26,rainy,21,80
2024-10-27,rainy,19,63
2024-10-28,rainy,25,63
2024-10-29,cloudy,18,62
2024-10-30,rainy,23,69
2024-10-31,rainy,18,74
